à		Vit, I, E
kị sĩ		Nc, Ng
hàng		Nc, Ng, Nu, Vt, Jd
rừng		Nc, Ng, Aa
thon lỏn		Aa
ruồi lằng		Nc, Ng
như chơi		Jd
tiểu dị		Aa
mãn khai		Vit, Vs, Vits






thú vui		Na
nhiên hậu		Cc

to nhỏ		Vit
phát lộ		Vit


lị sở		Nc, Ng
hang		Nc
sồng		Na
tennis		Np
nước miếng		Nc, Ng
phong vị		Na

ô trọc		Aa
tùng bách		Nc, Ng


đạo lộ		Ng


tì tướng		Nc, Ng
nhà rường		Nc, Ng
sảng khoái		Aa
tổn hao		Vt
ngoảnh		Vt


lợt		Aa
hiện		Na, Vit, Vs, Vits
tàng		Aa
tuần thú		Vit
sanh sánh		Aa
phu nhân		Nc, Ng

nội tâm		Na
thạo đời		Aa


Noel		Np


tưới tắm		Vit
sát phạt		Vt
tiền giấy		Nc, Ng
tờ mờ đất		Aa
micro		Np, Aa
thị hùng		Vit

men		Nc, Ng, Vit
có thể		Aa
sấm kí		Na
nghĩa là		X
nhớt nhát		Aa
phản cung		Vit
xông pha		Vt
nitơ		Np
mời lơi		Vit


sào		Nc, Ng
kỳ hào		Nc, Ng


phân vua		Vit
sự vụ chủ nghĩa		Aa
tru		Vit
ong bầu		Nc, Ng
ngoại ô		Nc, Ng

nốt		Nc, Jd
đơm		Nc, Vt
gan góc		Aa
nghị án		Vit
trẫm mình		Vit
tham nhũng		Vit
trinh bạch		Aa
tiệc mặn		Nc, Ng
phưỡn		Vit, Vt


tẹo		Na
lo-ga		Np
vừng		Na

quy tắc		Na
tâm đầu ý hợp		Aa

quang		Nc, Ng, Aa
nghe lóm		Vt


liến		Aa
gôm		Nc, Ng
sửng cồ		Vit
váng vất		Aa
pho-ton		Np
pháp viện		Nc, Ng
xa xẩn		Aa
quế hoè		Nc, Ng
xích mích		Na, Vit

vẹm		Nc, Ng
hoa lí		Nc
phù kế		Na
thạp		Nc, Ng
thoát tục		Vit
phó tiến sĩ		Nc, Ng

nước nhà		Nc, Ng
phàm tục		Aa


miến		Nc, Ng
học xá		Nc, Ng
rôm		Nc, Ng, Aa
xon xón		Jd
tiền thân		Na
tập thể hoá		Vt

sướng		Aa


vần		Na, Vt
mầy		Pp
kip		Np

thanh vận		Vit
quạt cây		Nc, Ng
sản nghiệp		Na
quý tộc		Na
mạt hạng		Aa


mỉa mai		Vt, Aa
hàm ân		Vt
thục nữ		Nc, Ng

thành văn		Aa
thánh nhân		Nc, Ng

tônô		Np
phù vân		Na


noi		Vt
gien		Na
tủ đứng		Nc, Ng
toàn tòng		Aa
tai ương		Na
rộng rinh		Aa
thuần		Jd, Aa
nói sòng		Vit
thị chính		Na


lại mục		Nc, Ng
xa xỉ		Aa

viễn vọng		Vit
thơm lừng		Aa
xích xiềng		Na, Vt
tý ty		Na
pi-rít		Np


quờ		Vt
giấu		Vt
họ hàng		Ng
trú quán		Nc, Ng
tham tri		Nc, Ng
nhà ngươi		Na
xuất		Vt
nhỏ nhen		Aa
ngậm ngùi		Vt, Vim, Vtim


đon đả		Aa
phào		Nc, Vit

vần lưng		Na
tiêu xài		Vt
trùng điệp		Aa

rầm rập		Aa
thù ghét		Vt

ríu		Vt
đối tác		Nc, Ng
khó gặm		Aa
xây		Vt
thất thần		Vit
phần nhiều		Nn
vật vã		Vit
nước dùng		Nc, Ng
nhỡ nhàng		Aa


nản chí		Vitim

và/hoặc		Cc
vạn vật học		Na
số tự nhiên		Na
vi thiềng		Na, Vt

rộn rịp		Aa
nhập định		Vit

sửu		Na
hecta		Np
ki cóp		Vt
thống		Na
trắng mắt		Aa
tao ngộ chiến		Vit

thẩm cứu		Vit
ngồi xổm		Vit


sực nức		Vit
êm ắng		Aa

võ thuật		Na
thần tiên		Aa
thống soái		Na

rau cháo		Nc, Ng 
phụ tình		Vit

tuế		Na
juđô		Np
gia súc		Nc, Ng
tạp âm		Na
trầm tĩnh		Aa
sinh nhật		Na
văn nghiệp		Na
văn tài		Na
patinê		Vit
thê nhi		Nc, Ng

vấn đề		Na
khí vị		Na


tiên tiến		Aa
rộng lượng		Aa

thật sự		Aa
nhí nháy		Vt


liễu		Nc, Ng
già lam		Na
sổ lòng		Vit
trằn trọc		Vit
sương móc		Nc, Ng
thê thiết		Aa

tâm ngẩm		Aa
xifông		Np

tưa		Na, Aa
ray		Na
ứng đáp		Vit
y hệt		Aa
tiểu vùng		Na
sủng soảng		Aa
sạt nghiệp		Vit
triệu		Na, Vt
nước hàng		Nc, Ng


loạn óc		Aa
điêu		Aa
phân bố		Vt
tuấn kiệt		Na
tung tích		Na
tiếp theo		Vt

sư sãi		Nc, Ng
tréo giò		Aa

vu		Vt
ra oai		Vit
hoàng		Nc
vùi dập		Vt
vui tính		Aa
tiếp thu		Vta
tốt nghiệp		Vt
trùm sỏ		Nc, Ng
nhạc vàng		Nc, Ng
thành khí		Aa

nuối		Vit
gàu dai		Nc, Ng
tam cấp		Nc, Ng
thân ái		Aa
thuần chất		Aa
thăm viếng		Vt

thứ tư		Na
tom góp		Vt


sao Mai		Np
hỗn hào		Aa
vận hội		Na
vượt rào		Vit
sớm khuya		Na
tha hương		Na

rau giền		Nc 
sài kinh		Na

tabu		Np
hàn xì		Vit
đốc chiến		Vit
thô lỗ		Aa
to tướng		An
tâm sinh lí		Aa

vượt bậc		Vit
thêm bớt		Vt


số dư		Na
ly kì		Aa
phảng		Nc, Ng
vô hại		Aa
thuốc tẩy		Nc, Ng
văn phong		Na
viễn du		Vit
nông vụ		Na
tàng hình		Vit

nao nức		Vitim
diệu kì		Aa
góc đa diện		Nc, Ng
súng lục		Nc, Ng
xuất kỳ bất ý		Jt
quy tập		Vt
trưởng giả		Na, Aa

thẻ vàng		Nc, Ng


tò te		Aa, Jd
động tử		Nc
lặp bặp		Vit

thất thu		Vit
trời đất ơi		E

thân oan		Vit
quân khí		Nc, Ng


kết bạn		Vt
gia ơn		Vit
thơm		Na, Vt, Aa

trơ mắt ếch		Aa


triệt để		Aa
thứ phát		Vit


đồn thú		Vit
hoà bình		Na, Aa
tái lập		Vt
trần trụi		Aa
thành thật		Aa

tốt lành		Aa
sân rồng		Nc, Ng


mòn mỏi		Aa
ký lục		Nc, Ng
vi ước		Vit

thướt tha		Aa
tiêu khiển		Vit

tay sai		Nc, Ng
sa khoáng		Nc, Ng


lacooc		Np
hằng số		Na
tam hợp		Na
tuần phu		Na
thảm trạng		Na

vi vút		Aa
tang tích		Na
trắng bệch		Aa


hữu cơ		Aa
vũ điệu		Na

trí tưởng		Na
vật lí hiện đại		Na

xảo trá		Aa
tỏi tây		Nc, Ng


múa máy		Vt
hộ tống		Vt
ngũ phúc		Na
vật nuôi		Nc, Ng
tiu nghỉu		Aa
trông cậy		Vt
vui vẻ		Aa
săm soi		Vt
tanh hôi		Aa


lâu lắc		An
khô mộc		Nc, Ng

vật lí Trái Đất		Na
thổ huyết		Vit

trụ trì		Vt
thái quá		Jd


oan hồn		Na
hận thù		Vit
lạnh giá		Aa
thô bạo		Aa
tiểu tinh		Na
tráng miệng		Vit

thuốc sắc		Nc, Ng
yên lòng		Aa


ngọc lan		Nc, Ng
mấy đời		X
xơ gan		Nc, Ng

toòng teng		Aa


sành điệu		Aa


quản		Nc, Ng, Vt
giun		Nc, Ng
hiếu chủ		Na
Thuỷ Tinh		Nc, Ng
vũ trường		Nc, Ng
tinh tinh		Nc, Ng

tử vong		Vit
thô sơ		Aa


quéo		Nc, Ng
giao tử		Ng
y phục		Nc, Ng

KCS		X
uỷ ban hành chính		Nc, Ng

tán phát		Vt
phát biểu		Vit

tệ lậu		Na
kĩ tính		Aa
khoác lác		Vit
thế mạng		Vit
ván khuôn		Nc, Ng
tiên lượng		Na, Vt


tiêu ngữ		Na


tâm can		Na
gọi vốn		Vt
thổ phỉ		Nc, Ng
xệch xạc		Aa
trạt vôi		Nc, Ng
tô-tem giáo		Np

tập huấn		Vt
thành thị		Nc, Ng

tí tởn		Vit, Aa
lãnh tụ		Nc, Ng
hải tân		Na
thích chí		Aa
uốn ba tấc lưỡi		X
trung bình		Aa


thuốc chén		Nc, Ng


tự tạo		Aa
làm bỏ xác		Vit
hẳn hoi		Aa

trước nhất		Na
thầy thuốc		Nc, Ng

suồng sã		Aa
thi liệu		Nc, Ng


mạo danh		Vt
đâm đơn		Vt
thật lực		Jd

trung dũng		Aa


trượng		Na, Vt
xềnh xệch		Jd


nhà săm		Nc, Ng
hải yến		Nc
vàng lụi		Na
xảo thuật		Na
tử thương		Vit


thiên vị		Vt
tinh giảm		Vt

non dại		Aa
hãm mình		Vit
ngựa chứng		Nc, Ng

vô duyên		Aa


văn thơ		Nc, Ng
tiên hiền		Na


sao Kim		Np
kế tiếp		Vt
phạt góc		Vit
vững chãi		Aa
ốc		Nc, Ng

tuỳ tùng		Nc, Ng, Vit
thủ quân		Nc, Ng
thơ thới		Aa

tiện nữ		Nc, Ng
mặt bằng		Nc, Ng
lúng búng		Vit
trắng bóc		Aa

trối trăng		Vit


sõng soài		Aa


ốm yếu		Aa
hiển đạt		Vit
phó thác		Vt
tiếp lời		Vt
trò chuyện		Vit
tháng thiếu		Na

tôm tép		Nc, Ng
thống lãnh		Vt

văn tế		Na
mảnh bát		Nc, Ng
li hôn		Vit
trách móc		Vt

xoài tượng		Nc, Ng


tinh vi		Aa


quen		Vt, Aa
hoạt lực		Na
khật khừ		Aa
thụ thai		Vit
xoắn trùng		Na


stereo		Np
tinh thục		Aa


lột xác		Vit
hội sư		Vit
xuôi		Vto, Aa


tổng công ti		Nc, Ng

thầm vụng		Aa


sỹ tốt		Nc, Ng
lăn kềnh		Vit
huống hồ		Cc
trấn giữ		Vt
truyện dài		Nc, Ng
tréo ngoảy		Aa

võ tướng		Nc, Ng
toạ hưởng		Vta


nén lòng		Vt, Vim, Vtim
linh cảm		Na, Vt
nhắc chừng		Vit




thước tỉ lệ		Nc 
trống đồng		Nc, Ng

văn võ		Nc, Ng
liệt sĩ		Nc, Ng
hoàng cầm		Nc
phú ông		Na

xtăng xin		Np


thiện tâm		Na


tên tự		Nc, Ng
máy kéo		Nc, Ng
khăn đóng		Nc, Ng


hở		Vit, Aa, I

vắng tanh		Aa
thiệt thà		Aa


luật hộ		Nc, Ng
khung		Nc
phân li		Vit

trang viên		Nc, Ng


xuất kích		Vit


vu cáo		Vt
nhẫn nhục		Vit
nông học		Na

vạ mồm vạ miệng		Na
Ti		Na


thống trị		Vt


na-tri		Nc, Ng
hoàn cảnh		Na
ngai ngái		Aa

tuyên thệ		Vit


tứ đổ tường		Na
xung kích		Vit


quốc dân		Nc, Ng
khoan đãi		Vt
phong bì		Nc, Ng

tri huyện		Na

vụt một cái		X
tràn ngập		Vt
từ phản nghĩa		Na

quản lý		Na, Vt
mãnh thú		Nc, Ng
ngũ kinh		Na


thường niên		Aa


xổng xểnh		Aa


ta-tăng		Np
long bào		Nc, Ng


ló		Nc, Ng, Vts


tranh thờ		Nc, Ng


tư vị		Vt
mai táng		Vt
hút xách		Vit
ứng viên		Nc, Ng
truyền đạo		Vit
vinh quy		Vit





tolar		Np
mẫu giáo		Nc, Ng
nghe đâu		Jd
tổng kho		Nc, Ng
má		Nc, Ng
cổ hũ		Nc, Ng

vườn địa đàng		Nc, Ng
tranh hùng		Vit

tầm tầm		Na, An
mát lòng		Aa
linh hồn		Na
vô nhân		Aa
vương vấn		Vt



tiên liệt		Na



lũng đoạn		Vt, Aa
khươi		Vt

né		Ng, Vt



thực trạng		Na


roto		Np
kiến thức		Na
xã viên		Nc, Ng




tiêu sơ		Aa



ngứa tay		Vit
lẹp xẹp		Aa
xu-páp		Np

lệ bộ		Na


tráng kiện		Aa


sởn sơ		Aa
láo liên		Vit, Aa
nông gia		Nc, Ng

xảo quyệt		Aa



tính hướng		Na


sát thủ		Nc, Ng
hung bạo		Aa
thích đáng		Aa
xao xuyến		Vitim
trang trọng		Aa


tình yêu		Na


tận tâm		Aa
móng mánh		Aa
mỹ nghệ		Na

tươi vui		Aa
tương liên		Aa


vắng tiếng		Aa


số hữu tỷ		Na
kim hoàn		Nc, Ng
sở giao dịch		Nc, Ng
trắng bốp		Aa
cùm		Nc, Ng, Vt






nài xin		Vt
ngành		Nu



gội		Nc, Vt




tàu điện		Nc, Ng
hướng dẫn		Vt
phẩm chất		Na

dúm		Nu, Vt


vào tròng		Vit
viêm nhiễm		Na, Vt


nội dung		Na
nội ứng		Na


mã đề		Nc
hợi		Na

tơrưng		Np


trở mặt		Vit
ngao ngán		Vt, Vim, Vtim, Aa
ngoại cảnh		Nl
xướng âm		Vit




trượt giá		Na


tia cực tím		Nc, Ng
nhẹ tênh		Aa, An


mộ địa		Nc, Ng
khờ		Aa

trừng trị		Vt


tồn quĩ		Vit
mặt rồng		Nc, Ng
lòi đuôi		Vit


tăng trưởng		Vit


tiên tri		Vit


vũ thuỷ		Na
nhăm nhăm		Aa
vi phân		Na, Aa

tả		Na, Vt, Aa
ki		Aa

tương tế		Vit


vặn vẹo		Vit, Aa
ống quần		Nc, Ng
lèo khoèo		Aa
phân kali		Nc, Ng

mục		Nc, Ng, Aa






rún rẩy		Vit
phân đoạn		Na

uý		Na
hàm ý		Na, Vt


thức ăn tinh		Nc, Ng


sắm sanh		Vt
ngang tai		Aa
nhà nghề		Na

tưởng tượng		Vt





vận trù		Vit
nhà buôn		Nc, Ng
nhập nhoà		Aa
thép gang		Aa

im		Vt, Aa


vương đạo		Na


tàu há mồm		Nc, Ng
nhãn hiệu		Nc, Ng
rừng đặc dụng		Nc, Ng

trưng cầu ý dân		X






tỉnh đoàn		Nc, Ng
nông lâm		Ng
sốp phơ		Nc, Ng

kềm		Nc, Vtv
khúc		Nc, Nu




tham tán		Nc, Ng
mỏng tang		An
lang bạt kì hồ		Vit

vữa		Na, Aa






số vô tỷ		Na
phế quản		Nc, Ng
Thái Dương Hệ		Na

kĩ nữ		Nc, Ng
lã chã		Vit





nhen nhóm		Vt
nhiệm kỳ		Nc, Ng
xe cải tiến		Nc, Ng


phỉ		Nc, Ng, Vt

vông vang		Nc, Ng


tay mặt		Nc, Ng
năm tháng		Na
sinh động		Aa

lấn		Vt
chùm		Nc, Nu


xoàng xĩnh		Aa


sơn cước		Nc, Ng
ngớ ngẩn		Aa
trăng già		Nc, Ng

láo		Aa


vắt chanh bỏ vỏ		X


tuyển		Vt
nhạt nhoà		Aa
kí cả hai tay		Vit

mến		Vt, Vim, Vtim
chờn		Vit, Aa





vô tư		Aa
sơ nhiễm		Vt
tham đó bỏ đăng		X

tị địa		Vit
đũng		Nc, Ng

vettông		Np



rin rít		Aa
ly thân		Vit

nùn		Nc
nhà cửa		Nc, Ng





xu nịnh		Vt
nhân tính		Na
tân gia		Nc, Ng

ví dụ		Na
gạt		Vt





ong vò vẽ		Nc, Ng
nhiệt điện		Na
sính nghi		Na

lờ mờ		Aa






siêu tốc		Aa
rách mướp		Aa

tướng thuật		Na
hết		Nn, Vts, Jd, I
khổ độc		Aa

vô lương		Aa


thổ quan		Na
quáng		Aa
phản chiếu		Vt

mầm		Nc, Ng
đoái		Vt





tiếm đoạt		Vt
ông xanh		Na 


ký sự		Nc, Ng
hãng		Nc

:		:


tết nhất		Na
quản ngại		Vit
phục thuốc		Vit

ném		Vt
dộng		Vt


xuất chinh		Vit


tỏ tường		Vt, Aa
niên hiệu		Na
sắc phong		Vt

lò cao		Nc, Ng
hang ổ		Ng


xoành xoạch		Jr

tun hút		Aa
quanh		Na, Vit, Aa
quốc khánh		Na


đạo lý		Na





vaselin		Np
sây sát		Aa
trú phòng		Vit

lúa sạ		Nc, Ng
hin		An





nhớt nhợt		Aa
nhuệ khí		Na


nói dóc		Vit






phấn son		Nc, Ng
thoái thác		Vt

mét		Nu, Aa
cổ điển		Aa





toàn lực		Na
sân si		Vit
ước chừng		Vt

sảo		Na
ký hoạ		Nc, Ng, Vit





quỷ quái		Aa
tháp tùng		Vt

nột		Aa
đưa đà		Vit
gia ân		Vit




veo veo		Aa, Jd
photon		Np
phân xanh		Nc, Ng

to		An
loga		Np





thuyền		Nc, Ng
phớt tỉnh		Vit


lọ nồi		Nc, Ng
hạ cánh		Vit




xuất sắc		Aa
sát cánh		Vit
thành hôn		Vit

vịm		Na
hoa lý		Nc


xuống đường		Vt


tiểu xảo		Na, Aa
rôm sảy		Nc, Ng
thành phẩm		Nc, Ng

miện		Nc
hôm		Nu





thum		Na
siêu độ		Vit

vẩn		Vit
mẩy		An
lập hạ		Na




toét nhèm		Aa
tải trọng		Na
sáng choang		Aa

mũ cát		Nc, Ng
hệ tộc		Na





tuổi mụ		Na
than ôi		E
xiềng xích		Nc, Ng, Vt

oanh		Nc, Ng
giết		Vt




tự thuật		Vt
thanh trà		Nc, Ng
nhây nhớt		Aa

tín		Na
lánh		Vit
ý chừng		Jd




vĩnh viễn		Aa
sinh nở		Vit
tô hồng		Vt

quở		Vt
giậu		Nc, Ng
hờ hững		Aa




thất tình		Aa
quất hồng bì		Nc, Ng


đồ đoàn		Nc, Ng
pháo		Nc, Ng




virut		Np
tạm biệt		Vt
văn giai		Na

ru		Vt, I
đồng la		Nc
lịch đại		Aa




trơ vơ		Aa
sinh sự		Vit
tổng hợp		Vt, Aa

nhìn		Vt
nhà chùa		Nc, Ng




vô mưu		Aa
thập toàn		Aa
thính lực		Na

tà tà		Jr
huý kị		Vit
kĩ nghệ		Na




tuệ tinh		Na
sư thầy		Nc, Ng
thị phần		Na

teo		Vitb
frăng		Np





trăng mật		Na
sinh hoạt		Na, Vit

tuỳ		Vt
khau		Nc
giả túc		Ng

xung lượng		Na


trần tình		Vit
tài sản cố định		Nc, Ng
thể dục dụng cụ		Na

vé số		Nc, Ng
liên		X





toang toác		Aa
thản nhiên		Aa
sương giá		Nc, Ng

liệu		Ng, Vt
già mồm		Aa




tuỳ thuộc		Na, Vt
trang lứa		Na
tình hình		Na

tỳ vị		Na
nơi		Nc, Cm





xắn móng lợn		Aa
trăm nghìn		Na
tughrik		Np

lũ lụt		Nc, Ng
đổ xô		Vt
sặc gạch		Vit




thuần thục		Aa
thân hữu		Na


rước		Vt
hoảng		Vitim, Aa





thẳng đuột		Aa
thiệt thòi		Na, Aa

rau cỏ		Nc, Ng
giãn nở		Vt





tôn thất		Na
tâm sinh lý		Aa


sắt đá		Aa
hợp tử		Nc





thút thít		Aa, An
viên ngoại		Na

uất ức		Vit
hèn kém		Aa
đồng cô		Nc, Ng





sáng bảnh mắt		X
trúng cách		Vit

tột độ		Na
máy ủi		Nc, Ng
phạng		Nc




thất tiết		Vit
triệt hạ		Vt

ném tạ		Nc, Ng
diệu kỳ		Aa
gội ơn		Vt





trang mục		Nc, Ng
xây cất		Vt

tom		Aa
eo biển		Nc, Ng
lập bập		Vit




trung cao		Na
tập tàng		Aa


kết mạc		Nc, Ng
giam cầm		Vt





tiểu nông		Na
trêu chòng		Vt
óng		Nc, Aa

độn thổ		Vit
hoả ngục		Na




tươi tắn		Aa
thất thanh		Aa
thành lập		Vt

mũ miện		Nc, Ng
lả lơi		Aa





trom-pét		Np
tơi tới		Jd, Jr
rắc		Vt, Aa

lắc lư		Vit
hoà nhạc		Vit




xun xoe		Vit
tóc sương		Nc, Ng
thừa thắng		Vit


kém cạnh		Vtc
ngôi		Nc, Ng



XHCN		Np
vật lý Trái Đất		Na
thôn quê		Nc, Ng
xà		Nc, Ng

nảy lửa		Aa
khai tử		Vit
ống khói		Nc 




tiểu yêu		Na
toà giám mục		Nc, Ng


lặn lội		Vt
kì công		Na, Aa





tráng niên		Nc, Ng
xía		Vit

ổi tàu		Nc, Ng
hết hồn		Vitim
lễ nghi		Na




vụ trưởng		Nc, Ng
thì thụt		Vit


nhãn lực		Na
mới cứng		Aa





tẩy trang		Vit
ương bướng		Aa
ửng		Aa
quán		Nc, Ng
hà tiện		Aa
hiếu học		Aa




vần xuôi		Na
tiên sư cha		X
thu phục		Vt

quẹo		Vt, Aa
gỗ vang		Nc, Ng





triển vọng		Na
tiến công		Vt
rọc		Vt
tít mù		Jd
kim đan		Nc
khổ sâm		Nc, Ng

xở		Vt


vào tù ra tội		Vit
trượt băng		Vit
yêu sách		Na, Vt

te te		Vit, Aa
hao tài		Vit
thời đại		Na, Aa




trường cửu		Aa
thông tư		Na
xạ		Na
tum		Na
lavabô		Np
hành xử		Vit
thúc giục		Vt




thuận lợi		Na, Aa
trộm nghĩ		Vit

tý tẹo		Na
lão thị		Aa
hiền hoà		Aa





trước kia		Na


mắm kem		Nc, Ng
đêm tối		Nl





vô duyên		Aa

thị		Na

nho sĩ		Nc, Ng
hanh hao		Aa




vươn mình		Vit
tuôcbin		Np


nờm nợp		Aa
hình cầu		Nc
làng bẹp		Nc, Ng





trầm ngâm		Aa
tựa hồ		Vt

sạo sục		Vit
khai mào		Vit
phi ngựa		Vit




trúng thầu		Vit
thiên văn học		Na

tốn kém		Vt
mè xửng		Nc, Ng
lụng bụng		Vit








quá sá		Jd
hình vóc		Ng
phục thù		Vit




xung yếu		Aa
trọng thể		Aa

văn tự		Nc, Ng
mảnh mai		Aa
lóng cóng		Aa





trục trặc		Na, Aa
tương giao		Vit

quét		Vt
học viện		Nc, Ng
khó đăm đăm		Aa




tuy vậy		Cc
trên đe dưới búa		X


lời văn		Nc, Ng
hôm mai		Nl






tổ ấm		Nc, Ng
lọng		Nc
tản cư		Vit
lấy làm		Vt
hữu nghị		Aa





xtăngxin		Np


nhà văn		Nc, Ng
linh mục		Nc, Ng
pháo hạm		Nc, Ng





thượng tầng		Na
ngụm		Nu
văn vũ		Na
lĩnh vực		Nc, Ng
hoạt kê		Aa
phục hiện		Vt




trân trọng		Vt
xem ngày		Vit

tí teo		Na
mĩ nhân kế		Na
khoả lấp		Vt




xoay trần		Vit
tranh dân gian		Nc, Ng
Nôen		Np

ma quái		Nc, Ng, Na, Aa
kí sinh		Vit
phẫn kích		Vitim





xung động		Na, Aa
y lí		Na
xán lạn		Aa
nhận dạng		Vt
hớ		Aa





tượng thanh		Vit
xám		Aa

não nùng		Aa
húng lìu		Nc, Ng
ngô đồng		Nc

thục		Na, Vt, Aa



trói voi bỏ rọ		X


nói xàm		Vit
khố vàng		Nc, Ng
phớn phở		Aa





tù mù		Aa
lời lẽ		Nc, Ng
quận lị		Nc, Ng
máy xúc		Nc, Ng
nhạc phẩm		Nc, Ng




xuất tinh		Vit
viện hàn lâm		Nc, Ng


tái tạo		Vt
lô xô		Aa





truy lĩnh		Vt

sô		Na
tửu sắc		Na
mài miệt		Aa
in thạch		Vit

xử lý		Vt


xung trận		Vit

trí		Na
u già		Nc, Ng
tuy		Cc
lọ		Nc, Ng, Aa, Cc
ong nghệ		Nc, Ng






núng		Aa
tòm tõm		Aa
mắt kính		Nc, Ng
lồng lộng		Aa







thế kỷ		Na

lưỡng lự		Vitim
dẽ gà		Nc, Ng





vô trùng		Vt, Aa
xẩm		Na

rửa tiền		X
lang lảng		Vit







sừng		Nc, Ng

nề		Na, Vit, Vt
liên bang		Nc, Ng





trăng treo		Nc, Ng


tàu biển		Nc, Ng
lệnh lang		Nc, Ng
nông hội		Nc, Ng




tương tư		Vit
vành đai trắng		Nc, Ng
thảm		Na, Aa

sấp mặt		Aa
húng quế		Nc, Ng
thính giả		Nc, Ng
xao		Vit



vật lý hạt nhân		Na


thu dọn		Vt
ngán ngẩm		Vitim
ngoại đạo		Nl






tham		Na, Vt
ngồng		Nc, Aa
sucre		Np
lạm phát		Na, Vit
thành hội		Nc, Ng




vạch lá tìm sâu		X


vật vờ		Vit, Aa
ngắn ngủn		An
nhân gian		Na






ve áo		Nc, Ng
nhóng		Vt
tân tạo		Vt
cúm		Na
nhi khoa		Nc, Ng

vô bờ		An




xúc cảm		Na, Vit

núng nính		Aa
nguôi		Vt
gởi		Vt




tường trình		Vt

thể lệ		Na
trợ sản		Vit
dụm		Vt
ngờm ngợp		Vit

trừ bì		Vit



tôn huynh		Na

thụp		Vit, Aa
tiễn đưa		Vt
mẹ đĩ		Nc, Ng
hủi		Na



ý nhị		Aa


sơ kỳ		Na
tồn quỹ		Vit
mẫn tiệp		Aa
long mạch		Nc, Ng

tối mù		Aa



ty trưởng		Nc, Ng


xam xám		Aa
nhân tâm		Na
khớ		Aa



xế		Na, Vit, Vt


thị nữ		Nc, Ng
phụ cận		Aa
ốp-ti-man		Aa
lẻo khoẻo		Aa
phân tách		Vt

tức khí		Vit


vi sinh vật		Nc, Ng

xảy		Vt, Jt

rượu chè		Vit
mề gà		Nc, Ng






xắt		Vt
ôm ấp		Vt
sơ sót		Na
ngoặc đơn		Nc, Ng
thích thú		Vitim, Aa

xừng		Vt

T.B.		X
vào sinh ra tử		Vit

trải		Na, Vt
vơ vẩn		Aa
nhao nhao		Vit
hãm		Vt, Aa
thờ phụng		Vt






ứng xử		Vit
tàu ngầm		Nc, Ng
nhật thực		Nc, Ng
sáng ngời		Aa

vô cực		Aa




thắt		Vt
tỷ phú		Nc, Ng
tong tả		Aa
im ả		Aa
thành phố		Nc, Ng






thổ cẩm		Na
thầu dầu		Nc, Ng
một chiều		Na
lang bạt kỳ hồ		Vit

xề xệ		Vit, Vt



thù		Na, Vt
tồi tệ		Aa
thúng		Nc, Ng
tâm tư		Na
kị mã		Nc, Ng
khục		Aa





thương tình		Vt
ứng cứu		Vit

nhen nhúm		Vt
sáng láng		Aa






trù úm		Vt
thình		Aa
thẩm vấn		Vt
kín		Vt, Aa
lách		Nc, Ng, Vt

vơi		Vit, An



tuyên phạt		Vt


tàn nhang		Nc, Ng
nói chung		X
phí		Na, Vt



thờ		Vt

trú ẩn		Vit
thả nổi		Vt
tuyến		Na
lận		Vt, I
chũm		Nc

tóp mỡ		Nc, Ng






việt vị		Na
lăm		Nn, Vtv
tháo chạy		Vit






thế tử		Nc, Ng

mĩ nữ		Nc, Ng
